contest_id,symbol,title,estimated_score
abc001,A,"積雪深差",237
abc001,B,"視程の通報",327
abc001,C,"風力観測",589
abc001,D,"感雨時刻の整理",653
abc002,A,"正直者",226
abc002,B,"罠",239
abc002,C,"直訴",265
abc002,D,"派閥",542
abc003,A,"AtCoder社の給料",211
abc003,B,"AtCoderトランプ",235
abc003,C,"AtCoderプログラミング講座",323
abc003,D,"AtCoder社の冬",448
abc004,A,"流行",230
abc004,B,"回転",229
abc004,C,"入れ替え",309
abc004,D,"マーブル",717
abc005,A,"おいしいたこ焼きの作り方",218
abc005,B,"おいしいたこ焼きの食べ方",276
abc005,C,"おいしいたこ焼きの売り方",302
abc005,D,"おいしいたこ焼きの焼き方",462
abc006,A,"世界のFizzBuzz",231
abc006,B,"トリボナッチ数列",400
abc006,C,"スフィンクスのなぞなぞ",464
abc006,D,"トランプ挿入ソート",660
abc007,A,"植木算",206
abc007,B,"辞書式順序",211
abc007,C,"幅優先探索",404
abc007,D,"禁止された数字",626
abc008,A,"アルバム",227
abc008,B,"投票",298
abc008,C,"コイン",614
abc008,D,"金塊ゲーム",755
abc009,A,"引越し作業",234
abc009,B,"心配性な富豪、ファミリーレストランに行く。",264
abc009,C,"辞書式順序ふたたび",667
abc009,D,"漸化式",791
abc010,A,"ハンドルネーム",266
abc010,B,"花占い",266
abc010,C,"浮気調査",275
abc010,D,"浮気予防",540
abc011,A,"来月は何月？",238
abc011,B,"名前の確認",238
abc011,C,"123引き算",332
abc011,D,"大ジャンプ",465
abc012,A,"スワップ",223
abc012,B,"入浴時間",222
abc012,C,"九九足し算",222
abc012,D,"バスと避けられない運命",375
abc013,A,"A",221
abc013,B,"錠",229
abc013,C,"節制",452
abc013,D,"阿弥陀",556
abc014,A,"けんしょう先生のお菓子配り",225
abc014,B,"価格の合計",248
abc014,C,"AtColor",348
abc014,D,"閉路",615
abc015,A,"高橋くんの研修",230
abc015,B,"高橋くんの集計",250
abc015,C,"高橋くんのバグ探し",347
abc015,D,"高橋くんの苦悩",519
abc016,A,"12月6日",187
abc016,B,"A±B Problem",187
abc016,C,"友達の友達",317
abc016,D,"一刀両断",481
abc017,A,"プロコン",227
abc017,B,"choku語",249
abc017,C,"ハイスコア",542
abc017,D,"サプリメント",753
abc018,A,"豆まき",229
abc018,B,"文字列の反転",230
abc018,C,"菱型カウント",549
abc018,D,"バレンタインデー",643
abc019,A,"高橋くんと年齢",189
abc019,B,"高橋くんと文字列圧縮",217
abc019,C,"高橋くんと魔法の箱",404
abc019,D,"高橋くんと木の直径",508
abc020,A,"クイズ",188
abc020,B,"足し算",189
abc020,C,"壁抜け",527
abc020,D,"LCM Rush",719
abc021,A,"足し算",184
abc021,B,"嘘つきの高橋くん",211
abc021,C,"正直者の高橋くん",493
abc021,D,"多重ループ",718
abc022,A,"Best Body",228
abc022,B,"Bumble Bee",233
abc022,C,"Blue Bird",563
abc022,D,"Big Bang",715
abc023,A,"加算王",183
abc023,B,"手芸王",210
abc023,C,"収集王",622
abc023,D,"射撃王",737
abc024,A,"動物園",166
abc024,B,"自動ドア",183
